"GEOID","NAME","variable","estimate","moe","source","year","quintile","county","county_short","acs_release","pce_estimate","cty_rate","eff_rate","pop_est","incidence_avg","est_PCE_cty_agg","est_taxable_spend","est_tax_rev","taxable_trans_total","percap_taxable_total","est_tax_spend_trans","est_tax_rev_trans"
"06083","Santa Barbara County, California","B19013_001",53477,1795,"ACS",2006,"q3","Santa Barbara","Santa Barbara",NA,0.120046400430477,0.075130475459617,0.0725,412271,0.2,22047016267,2646664943.08553,198845195.556316,NA,NA,NA,NA
"06085","Santa Clara County, California","B19013_001",80838,1196,"ACS",2006,"q5","Santa Clara","Santa Clara",NA,0.21115238681437,0.0798562691663195,0.0725,1706676,0.342,137964274488,29131485853.2541,2326331775.51229,NA,NA,NA,NA
"06087","Santa Cruz County, California","B19013_001",62193,3668,"ACS",2006,"q4","Santa Cruz","Santa Cruz",NA,0.157180623804294,0.0836754820394913,0.0725,255107,0.259,15865869651,2493807288.9418,208670527.015802,NA,NA,NA,NA
"06089","Shasta County, California","B19013_001",44120,3058,"ACS",2006,"q2","Shasta","Shasta",NA,0.106403680272239,0.0637982150404835,0.0725,174747,0.18,7709837640,820355099.197437,52337191.0281553,NA,NA,NA,NA
"06095","Solano County, California","B19013_001",61533,1382,"ACS",2006,"q4","Solano","Solano",NA,0.157180623804294,0.075299253806285,0.0725,410964,0.259,25287847812,3974759693.75821,299296438.999291,NA,NA,NA,NA
"06097","Sonoma County, California","B19013_001",60821,1823,"ACS",2006,"q4","Sonoma","Sonoma",NA,0.157180623804294,0.0861926905240818,0.0725,469751,0.259,28570725571,4490764467.79107,387071071.988859,NA,NA,NA,NA
"06099","Stanislaus County, California","B19013_001",48566,1750,"ACS",2006,"q2","Stanislaus","Stanislaus",NA,0.106403680272239,0.0709158390313946,0.0725,500780,0.18,24320881480,2587831296.93695,183518227.693986,NA,NA,NA,NA
"06101","Sutter County, California","B19013_001",51688,5763,"ACS",2006,"q3","Sutter","Sutter",NA,0.120046400430477,0.0624962106519022,0.0725,89364,0.2,4619046432,554499897.58284,34654142.4057954,NA,NA,NA,NA
"06107","Tulare County, California","B19013_001",41933,1949,"ACS",2006,"q2","Tulare","Tulare",NA,0.106403680272239,0.0747446963815189,0.0725,412239,0.18,17286417987,1839338492.54104,137480797.16782,NA,NA,NA,NA
"06111","Ventura County, California","B19013_001",72107,1436,"ACS",2006,"q5","Ventura","Ventura",NA,0.21115238681437,0.06754640949246,0.0725,799049,0.342,57617026243,12165972612.3556,821767767.948226,NA,NA,NA,NA
"06113","Yolo County, California","B19013_001",51128,3628,"ACS",2006,"q3","Yolo","Yolo",NA,0.120046400430477,0.0729122457605526,0.0725,189078,0.2,9667179984,1160510159.39276,84615401.949263,NA,NA,NA,NA
"06115","Yuba County, California","B19013_001",38006,4168,"ACS",2006,"q1","Yuba","Yuba",NA,0.184585961879078,0.0700189026748164,0.0725,68464,0.293,2602042784,480300570.135154,33630118.8749522,NA,NA,NA,NA
"06001","Alameda County, California","B19013_001",68740,2446,"ACS",2007,"q5","Alameda","Alameda",NA,0.22462041303302,0.0911403072006907,0.0725,1470622,0.342,101090556280,22707002505.3513,2069523183.94458,NA,NA,NA,NA
"06007","Butte County, California","B19013_001",39529,3217,"ACS",2007,"q1","Butte","Butte",NA,0.196359490048417,0.0752269202291416,0.0725,216401,0.293,8554115129,1679681684.54589,126357280.093684,NA,NA,NA,NA
"06013","Contra Costa County, California","B19013_001",76436,2211,"ACS",2007,"q5","Contra Costa","Contra Costa",NA,0.22462041303302,0.0820262764806217,0.0725,1015672,0.342,77633904992,17438159804.6693,1430387317.45107,NA,NA,NA,NA
"06017","El Dorado County, California","B19013_001",64188,5534,"ACS",2007,"q4","El Dorado","El Dorado",NA,0.167206145155947,0.0700189026748164,0.0725,176226,0.259,11311594488,1891368109.90574,132431519.609742,NA,NA,NA,NA
"06019","Fresno County, California","B19013_001",47298,1722,"ACS",2007,"q2","Fresno","Fresno",NA,0.113190473342816,0.0754077541720001,0.0725,893088,0.18,42241276224,4781310050.39918,360547852.900615,NA,NA,NA,NA
"06023","Humboldt County, California","B19013_001",36870,3285,"ACS",2007,"q1","Humboldt","Humboldt",NA,0.196359490048417,0.0835452816006332,0.0725,132443,0.293,4883173410,958857440.605591,80108014.8902565,NA,NA,NA,NA
"06025","Imperial County, California","B19013_001",31912,2685,"ACS",2007,"q1","Imperial","Imperial",NA,0.196359490048417,0.0696572347890994,0.0725,164707,0.293,5256129784,1032090964.01454,71892602.6040685,NA,NA,NA,NA
"06029","Kern County, California","B19013_001",47105,1668,"ACS",2007,"q2","Kern","Kern",NA,0.113190473342816,0.0712485734862543,0.0725,795982,0.18,37494732110,4244046475.39297,302382257.181114,NA,NA,NA,NA
